epoch,train_loss,val_loss,val_miou,val_f1
1,3.4310,2.0759,0.0328,0.0479
2,2.3088,2.0827,0.0327,0.0490
3,2.1647,2.0505,0.0375,0.0549
4,2.1051,2.0635,0.0348,0.0528
5,2.0588,2.0025,0.0391,0.0574
6,2.0208,2.0282,0.0396,0.0564
7,1.9850,2.0270,0.0333,0.0514
8,1.9586,1.9898,0.0420,0.0599
